row,col,expected,actual,file
10232,TIME,time like ,in,literal data
10232,H2O,a double,"wetl""",literal data
10232,CO2,no trailing characters,2023-07-19,literal data
10232,CH4,no trailing characters,15:16:06,literal data
10232,NA,22 columns,25 columns,literal data
10233,DATE,date like ,2,literal data
10233,TIME,time like ,in,literal data
10233,H2O,a double,"wetl""",literal data
10233,CO2,no trailing characters,2023-07-19,literal data
10233,CH4,no trailing characters,15:16:07,literal data
10233,NA,22 columns,25 columns,literal data
10234,DATE,date like ,2,literal data
10234,TIME,time like ,in,literal data
10234,H2O,a double,"wetl""",literal data
10234,CO2,no trailing characters,2023-07-19,literal data
10234,CH4,no trailing characters,15:16:08,literal data
10234,NA,22 columns,25 columns,literal data
10235,DATE,date like ,2,literal data
10235,TIME,time like ,in,literal data
10235,H2O,a double,"wetl""",literal data
10235,CO2,no trailing characters,2023-07-19,literal data
10235,CH4,no trailing characters,15:16:09,literal data
10235,NA,22 columns,25 columns,literal data
10236,DATE,date like ,2,literal data
10236,TIME,time like ,in,literal data
10236,H2O,a double,"wetl""",literal data
10236,CO2,no trailing characters,2023-07-19,literal data
10236,CH4,no trailing characters,15:16:10,literal data
10236,NA,22 columns,25 columns,literal data
10237,DATE,date like ,2,literal data
10237,TIME,time like ,in,literal data
10237,H2O,a double,"wetl""",literal data
10237,CO2,no trailing characters,2023-07-19,literal data
10237,CH4,no trailing characters,15:16:11,literal data
10237,NA,22 columns,25 columns,literal data
10238,DATE,date like ,2,literal data
10238,TIME,time like ,in,literal data
10238,H2O,a double,"wetl""",literal data
10238,CO2,no trailing characters,2023-07-19,literal data
10238,CH4,no trailing characters,15:16:12,literal data
10238,NA,22 columns,25 columns,literal data
10239,DATE,date like ,2,literal data
10239,TIME,time like ,in,literal data
10239,H2O,a double,"wetl""",literal data
10239,CO2,no trailing characters,2023-07-19,literal data
10239,CH4,no trailing characters,15:16:13,literal data
10239,NA,22 columns,25 columns,literal data
10240,DATE,date like ,2,literal data
10240,TIME,time like ,in,literal data
10240,H2O,a double,"wetl""",literal data
10240,CO2,no trailing characters,2023-07-19,literal data
10240,CH4,no trailing characters,15:16:14,literal data
10240,NA,22 columns,25 columns,literal data
10241,DATE,date like ,2,literal data
10241,TIME,time like ,in,literal data
10241,H2O,a double,"wetl""",literal data
10241,CO2,no trailing characters,2023-07-19,literal data
10241,CH4,no trailing characters,15:16:15,literal data
10241,NA,22 columns,25 columns,literal data
10242,DATE,date like ,2,literal data
10242,TIME,time like ,in,literal data
10242,H2O,a double,"wetl""",literal data
10242,CO2,no trailing characters,2023-07-19,literal data
10242,CH4,no trailing characters,15:16:16,literal data
10242,NA,22 columns,25 columns,literal data
10243,DATE,date like ,2,literal data
10243,TIME,time like ,in,literal data
10243,H2O,a double,"wetl""",literal data
10243,CO2,no trailing characters,2023-07-19,literal data
10243,CH4,no trailing characters,15:16:17,literal data
10243,NA,22 columns,25 columns,literal data
10244,DATE,date like ,2,literal data
10244,TIME,time like ,in,literal data
10244,H2O,a double,"wetl""",literal data
10244,CO2,no trailing characters,2023-07-19,literal data
10244,CH4,no trailing characters,15:16:18,literal data
10244,NA,22 columns,25 columns,literal data
10245,DATE,date like ,2,literal data
10245,TIME,time like ,in,literal data
10245,H2O,a double,"wetl""",literal data
10245,CO2,no trailing characters,2023-07-19,literal data
10245,CH4,no trailing characters,15:16:19,literal data
10245,NA,22 columns,25 columns,literal data
10246,DATE,date like ,2,literal data
10246,TIME,time like ,in,literal data
10246,H2O,a double,"wetl""",literal data
10246,CO2,no trailing characters,2023-07-19,literal data
10246,CH4,no trailing characters,15:16:20,literal data
10246,NA,22 columns,25 columns,literal data
10247,DATE,date like ,2,literal data
10247,TIME,time like ,in,literal data
10247,H2O,a double,"wetl""",literal data
10247,CO2,no trailing characters,2023-07-19,literal data
10247,CH4,no trailing characters,15:16:21,literal data
10247,NA,22 columns,25 columns,literal data
10248,DATE,date like ,2,literal data
10248,TIME,time like ,in,literal data
10248,H2O,a double,"wetl""",literal data
10248,CO2,no trailing characters,2023-07-19,literal data
10248,CH4,no trailing characters,15:16:22,literal data
10248,NA,22 columns,25 columns,literal data
10249,DATE,date like ,2,literal data
10249,TIME,time like ,in,literal data
10249,H2O,a double,"wetl""",literal data
10249,CO2,no trailing characters,2023-07-19,literal data
10249,CH4,no trailing characters,15:16:23,literal data
10249,NA,22 columns,25 columns,literal data
10250,DATE,date like ,2,literal data
10250,TIME,time like ,in,literal data
10250,H2O,a double,"wetl""",literal data
10250,CO2,no trailing characters,2023-07-19,literal data
10250,CH4,no trailing characters,15:16:24,literal data
10250,NA,22 columns,25 columns,literal data
10251,DATE,date like ,2,literal data
10251,TIME,time like ,in,literal data
10251,H2O,a double,"wetl""",literal data
10251,CO2,no trailing characters,2023-07-19,literal data
10251,CH4,no trailing characters,15:16:25,literal data
10251,NA,22 columns,25 columns,literal data
10252,DATE,date like ,2,literal data
10252,TIME,time like ,in,literal data
10252,H2O,a double,"wetl""",literal data
10252,CO2,no trailing characters,2023-07-19,literal data
10252,CH4,no trailing characters,15:16:26,literal data
10252,NA,22 columns,25 columns,literal data
10253,DATE,date like ,2,literal data
10253,TIME,time like ,in,literal data
10253,H2O,a double,"wetl""",literal data
10253,CO2,no trailing characters,2023-07-19,literal data
10253,CH4,no trailing characters,15:16:27,literal data
10253,NA,22 columns,25 columns,literal data
10254,DATE,date like ,2,literal data
10254,TIME,time like ,in,literal data
10254,H2O,a double,"wetl""",literal data
10254,CO2,no trailing characters,2023-07-19,literal data
10254,CH4,no trailing characters,15:16:28,literal data
10254,NA,22 columns,25 columns,literal data
10255,DATE,date like ,2,literal data
10255,TIME,time like ,in,literal data
10255,H2O,a double,"wetl""",literal data
10255,CO2,no trailing characters,2023-07-19,literal data
10255,CH4,no trailing characters,15:16:29,literal data
10255,NA,22 columns,25 columns,literal data
10256,DATE,date like ,2,literal data
10256,TIME,time like ,in,literal data
10256,H2O,a double,"wetl""",literal data
10256,CO2,no trailing characters,2023-07-19,literal data
10256,CH4,no trailing characters,15:16:30,literal data
10256,NA,22 columns,25 columns,literal data
10257,DATE,date like ,2,literal data
10257,TIME,time like ,in,literal data
10257,H2O,a double,"wetl""",literal data
10257,CO2,no trailing characters,2023-07-19,literal data
10257,CH4,no trailing characters,15:16:31,literal data
10257,NA,22 columns,25 columns,literal data
10258,DATE,date like ,2,literal data
10258,TIME,time like ,in,literal data
10258,H2O,a double,"wetl""",literal data
10258,CO2,no trailing characters,2023-07-19,literal data
10258,CH4,no trailing characters,15:16:32,literal data
10258,NA,22 columns,25 columns,literal data
10259,DATE,date like ,2,literal data
10259,TIME,time like ,in,literal data
10259,H2O,a double,"wetl""",literal data
10259,CO2,no trailing characters,2023-07-19,literal data
10259,CH4,no trailing characters,15:16:33,literal data
10259,NA,22 columns,25 columns,literal data
10260,DATE,date like ,2,literal data
10260,TIME,time like ,in,literal data
10260,H2O,a double,"wetl""",literal data
10260,CO2,no trailing characters,2023-07-19,literal data
10260,CH4,no trailing characters,15:16:34,literal data
10260,NA,22 columns,25 columns,literal data
10261,DATE,date like ,2,literal data
10261,TIME,time like ,in,literal data
10261,H2O,a double,"wetl""",literal data
10261,CO2,no trailing characters,2023-07-19,literal data
10261,CH4,no trailing characters,15:16:35,literal data
10261,NA,22 columns,25 columns,literal data
10262,DATE,date like ,2,literal data
10262,TIME,time like ,in,literal data
10262,H2O,a double,"wetl""",literal data
10262,CO2,no trailing characters,2023-07-19,literal data
10262,CH4,no trailing characters,15:16:36,literal data
10262,NA,22 columns,25 columns,literal data
10263,DATE,date like ,2,literal data
10263,TIME,time like ,in,literal data
10263,H2O,a double,"wetl""",literal data
10263,CO2,no trailing characters,2023-07-19,literal data
10263,CH4,no trailing characters,15:16:37,literal data
10263,NA,22 columns,25 columns,literal data
10264,DATE,date like ,2,literal data
10264,TIME,time like ,in,literal data
10264,H2O,a double,"wetl""",literal data
10264,CO2,no trailing characters,2023-07-19,literal data
10264,CH4,no trailing characters,15:16:38,literal data
10264,NA,22 columns,25 columns,literal data
10265,DATE,date like ,2,literal data
10265,TIME,time like ,in,literal data
10265,H2O,a double,"wetl""",literal data
10265,CO2,no trailing characters,2023-07-19,literal data
10265,CH4,no trailing characters,15:16:39,literal data
10265,NA,22 columns,25 columns,literal data
10266,DATE,date like ,2,literal data
10266,TIME,time like ,in,literal data
10266,H2O,a double,"wetl""",literal data
10266,CO2,no trailing characters,2023-07-19,literal data
10266,CH4,no trailing characters,15:16:40,literal data
10266,NA,22 columns,25 columns,literal data
10267,DATE,date like ,2,literal data
10267,TIME,time like ,in,literal data
10267,H2O,a double,"wetl""",literal data
10267,CO2,no trailing characters,2023-07-19,literal data
10267,CH4,no trailing characters,15:16:41,literal data
10267,NA,22 columns,25 columns,literal data
10268,DATE,date like ,2,literal data
10268,TIME,time like ,in,literal data
10268,H2O,a double,"wetl""",literal data
10268,CO2,no trailing characters,2023-07-19,literal data
10268,CH4,no trailing characters,15:16:42,literal data
10268,NA,22 columns,25 columns,literal data
10269,DATE,date like ,2,literal data
10269,TIME,time like ,in,literal data
10269,H2O,a double,"wetl""",literal data
10269,CO2,no trailing characters,2023-07-19,literal data
10269,CH4,no trailing characters,15:16:43,literal data
10269,NA,22 columns,25 columns,literal data
10270,DATE,date like ,2,literal data
10270,TIME,time like ,in,literal data
10270,H2O,a double,"wetl""",literal data
10270,CO2,no trailing characters,2023-07-19,literal data
10270,CH4,no trailing characters,15:16:44,literal data
10270,NA,22 columns,25 columns,literal data
10271,DATE,date like ,2,literal data
10271,TIME,time like ,in,literal data
10271,H2O,a double,"wetl""",literal data
10271,CO2,no trailing characters,2023-07-19,literal data
10271,CH4,no trailing characters,15:16:45,literal data
10271,NA,22 columns,25 columns,literal data
10272,DATE,date like ,2,literal data
10272,TIME,time like ,in,literal data
10272,H2O,a double,"wetl""",literal data
10272,CO2,no trailing characters,2023-07-19,literal data
10272,CH4,no trailing characters,15:16:46,literal data
10272,NA,22 columns,25 columns,literal data
10273,DATE,date like ,2,literal data
10273,TIME,time like ,in,literal data
10273,H2O,a double,"wetl""",literal data
10273,CO2,no trailing characters,2023-07-19,literal data
10273,CH4,no trailing characters,15:16:47,literal data
10273,NA,22 columns,25 columns,literal data
10274,DATE,date like ,2,literal data
10274,TIME,time like ,in,literal data
10274,H2O,a double,"wetl""",literal data
10274,CO2,no trailing characters,2023-07-19,literal data
10274,CH4,no trailing characters,15:16:48,literal data
10274,NA,22 columns,25 columns,literal data
10275,DATE,date like ,2,literal data
10275,TIME,time like ,in,literal data
10275,H2O,a double,"wetl""",literal data
10275,CO2,no trailing characters,2023-07-19,literal data
10275,CH4,no trailing characters,15:16:49,literal data
10275,NA,22 columns,25 columns,literal data
10276,DATE,date like ,2,literal data
10276,TIME,time like ,in,literal data
10276,H2O,a double,"wetl""",literal data
10276,CO2,no trailing characters,2023-07-19,literal data
10276,CH4,no trailing characters,15:16:50,literal data
10276,NA,22 columns,25 columns,literal data
10277,DATE,date like ,2,literal data
10277,TIME,time like ,in,literal data
10277,H2O,a double,"wetl""",literal data
10277,CO2,no trailing characters,2023-07-19,literal data
10277,CH4,no trailing characters,15:16:51,literal data
10277,NA,22 columns,25 columns,literal data
10278,DATE,date like ,2,literal data
10278,TIME,time like ,in,literal data
10278,H2O,a double,"wetl""",literal data
10278,CO2,no trailing characters,2023-07-19,literal data
10278,CH4,no trailing characters,15:16:52,literal data
10278,NA,22 columns,25 columns,literal data
10279,DATE,date like ,2,literal data
10279,TIME,time like ,in,literal data
10279,H2O,a double,"wetl""",literal data
10279,CO2,no trailing characters,2023-07-19,literal data
10279,CH4,no trailing characters,15:16:53,literal data
10279,NA,22 columns,25 columns,literal data
10280,DATE,date like ,2,literal data
10280,TIME,time like ,in,literal data
10280,H2O,a double,"wetl""",literal data
10280,CO2,no trailing characters,2023-07-19,literal data
10280,CH4,no trailing characters,15:16:54,literal data
10280,NA,22 columns,25 columns,literal data
10281,DATE,date like ,2,literal data
10281,TIME,time like ,in,literal data
10281,H2O,a double,"wetl""",literal data
10281,CO2,no trailing characters,2023-07-19,literal data
10281,CH4,no trailing characters,15:16:55,literal data
10281,NA,22 columns,25 columns,literal data
10282,DATE,date like ,2,literal data
10282,TIME,time like ,in,literal data
10282,H2O,a double,"wetl""",literal data
10282,CO2,no trailing characters,2023-07-19,literal data
10282,CH4,no trailing characters,15:16:56,literal data
10282,NA,22 columns,25 columns,literal data
10283,DATE,date like ,2,literal data
10283,TIME,time like ,in,literal data
10283,H2O,a double,"wetl""",literal data
10283,CO2,no trailing characters,2023-07-19,literal data
10283,CH4,no trailing characters,15:16:57,literal data
10283,NA,22 columns,25 columns,literal data
10284,DATE,date like ,2,literal data
10284,TIME,time like ,in,literal data
10284,H2O,a double,"wetl""",literal data
10284,CO2,no trailing characters,2023-07-19,literal data
10284,CH4,no trailing characters,15:16:58,literal data
10284,NA,22 columns,25 columns,literal data
10285,DATE,date like ,2,literal data
10285,TIME,time like ,in,literal data
10285,H2O,a double,"wetl""",literal data
10285,CO2,no trailing characters,2023-07-19,literal data
10285,CH4,no trailing characters,15:16:59,literal data
10285,NA,22 columns,25 columns,literal data
10286,DATE,date like ,2,literal data
10286,TIME,time like ,in,literal data
10286,H2O,a double,"wetl""",literal data
10286,CO2,no trailing characters,2023-07-19,literal data
10286,CH4,no trailing characters,15:17:00,literal data
10286,NA,22 columns,25 columns,literal data
10287,DATE,date like ,2,literal data
10287,TIME,time like ,in,literal data
10287,H2O,a double,"wetl""",literal data
10287,CO2,no trailing characters,2023-07-19,literal data
10287,CH4,no trailing characters,15:17:01,literal data
10287,NA,22 columns,25 columns,literal data
10288,DATE,date like ,2,literal data
10288,TIME,time like ,in,literal data
10288,H2O,a double,"wetl""",literal data
10288,CO2,no trailing characters,2023-07-19,literal data
10288,CH4,no trailing characters,15:17:02,literal data
10288,NA,22 columns,25 columns,literal data
10289,DATE,date like ,2,literal data
10289,TIME,time like ,in,literal data
10289,H2O,a double,"wetl""",literal data
10289,CO2,no trailing characters,2023-07-19,literal data
10289,CH4,no trailing characters,15:17:03,literal data
10289,NA,22 columns,25 columns,literal data
10290,DATE,date like ,2,literal data
10290,TIME,time like ,in,literal data
10290,H2O,a double,"wetl""",literal data
10290,CO2,no trailing characters,2023-07-19,literal data
10290,CH4,no trailing characters,15:17:04,literal data
10290,NA,22 columns,25 columns,literal data
10291,DATE,date like ,2,literal data
10291,TIME,time like ,in,literal data
10291,H2O,a double,"wetl""",literal data
10291,CO2,no trailing characters,2023-07-19,literal data
10291,CH4,no trailing characters,15:17:05,literal data
10291,NA,22 columns,25 columns,literal data
10292,DATE,date like ,2,literal data
10292,TIME,time like ,in,literal data
10292,H2O,a double,"wetl""",literal data
10292,CO2,no trailing characters,2023-07-19,literal data
10292,CH4,no trailing characters,15:17:06,literal data
10292,NA,22 columns,25 columns,literal data
10293,DATE,date like ,2,literal data
10293,TIME,time like ,in,literal data
10293,H2O,a double,"wetl""",literal data
10293,CO2,no trailing characters,2023-07-19,literal data
10293,CH4,no trailing characters,15:17:07,literal data
10293,NA,22 columns,25 columns,literal data
10294,DATE,date like ,2,literal data
10294,TIME,time like ,in,literal data
10294,H2O,a double,"wetl""",literal data
10294,CO2,no trailing characters,2023-07-19,literal data
10294,CH4,no trailing characters,15:17:08,literal data
10294,NA,22 columns,25 columns,literal data
10295,DATE,date like ,2,literal data
10295,TIME,time like ,in,literal data
10295,H2O,a double,"wetl""",literal data
10295,CO2,no trailing characters,2023-07-19,literal data
10295,CH4,no trailing characters,15:17:09,literal data
10295,NA,22 columns,25 columns,literal data
10296,DATE,date like ,2,literal data
10296,TIME,time like ,in,literal data
10296,H2O,a double,"wetl""",literal data
10296,CO2,no trailing characters,2023-07-19,literal data
10296,CH4,no trailing characters,15:17:10,literal data
10296,NA,22 columns,25 columns,literal data
10297,DATE,date like ,2,literal data
10297,TIME,time like ,in,literal data
10297,H2O,a double,"wetl""",literal data
10297,CO2,no trailing characters,2023-07-19,literal data
10297,CH4,no trailing characters,15:17:11,literal data
10297,NA,22 columns,25 columns,literal data
10298,DATE,date like ,2,literal data
10298,TIME,time like ,in,literal data
10298,H2O,a double,"wetl""",literal data
10298,CO2,no trailing characters,2023-07-19,literal data
10298,CH4,no trailing characters,15:17:12,literal data
10298,NA,22 columns,25 columns,literal data
10299,DATE,date like ,2,literal data
10299,TIME,time like ,in,literal data
10299,H2O,a double,"wetl""",literal data
10299,CO2,no trailing characters,2023-07-19,literal data
10299,CH4,no trailing characters,15:17:13,literal data
10299,NA,22 columns,25 columns,literal data
10300,DATE,date like ,2,literal data
10300,TIME,time like ,in,literal data
10300,H2O,a double,"wetl""",literal data
10300,CO2,no trailing characters,2023-07-19,literal data
10300,CH4,no trailing characters,15:17:14,literal data
10300,NA,22 columns,25 columns,literal data
10301,DATE,date like ,2,literal data
10301,TIME,time like ,in,literal data
10301,H2O,a double,"wetl""",literal data
10301,CO2,no trailing characters,2023-07-19,literal data
10301,CH4,no trailing characters,15:17:15,literal data
10301,NA,22 columns,25 columns,literal data
10302,DATE,date like ,2,literal data
10302,TIME,time like ,in,literal data
10302,H2O,a double,"wetl""",literal data
10302,CO2,no trailing characters,2023-07-19,literal data
10302,CH4,no trailing characters,15:17:16,literal data
10302,NA,22 columns,25 columns,literal data
10303,DATE,date like ,2,literal data
10303,TIME,time like ,in,literal data
10303,H2O,a double,"wetl""",literal data
10303,CO2,no trailing characters,2023-07-19,literal data
10303,CH4,no trailing characters,15:17:17,literal data
10303,NA,22 columns,25 columns,literal data
10304,DATE,date like ,2,literal data
10304,TIME,time like ,in,literal data
10304,H2O,a double,"wetl""",literal data
10304,CO2,no trailing characters,2023-07-19,literal data
10304,CH4,no trailing characters,15:17:18,literal data
10304,NA,22 columns,25 columns,literal data
10305,DATE,date like ,2,literal data
10305,TIME,time like ,in,literal data
10305,H2O,a double,"wetl""",literal data
10305,CO2,no trailing characters,2023-07-19,literal data
10305,CH4,no trailing characters,15:17:19,literal data
10305,NA,22 columns,25 columns,literal data
10306,DATE,date like ,2,literal data
10306,TIME,time like ,in,literal data
10306,H2O,a double,"wetl""",literal data
10306,CO2,no trailing characters,2023-07-19,literal data
10306,CH4,no trailing characters,15:17:20,literal data
10306,NA,22 columns,25 columns,literal data
10307,DATE,date like ,2,literal data
10307,TIME,time like ,in,literal data
10307,H2O,a double,"wetl""",literal data
10307,CO2,no trailing characters,2023-07-19,literal data
10307,CH4,no trailing characters,15:17:21,literal data
10307,NA,22 columns,25 columns,literal data
10308,DATE,date like ,2,literal data
10308,TIME,time like ,in,literal data
10308,H2O,a double,"wetl""",literal data
10308,CO2,no trailing characters,2023-07-19,literal data
10308,CH4,no trailing characters,15:17:22,literal data
10308,NA,22 columns,25 columns,literal data
10309,DATE,date like ,2,literal data
10309,TIME,time like ,in,literal data
10309,H2O,a double,"wetl""",literal data
10309,CO2,no trailing characters,2023-07-19,literal data
10309,CH4,no trailing characters,15:17:23,literal data
10309,NA,22 columns,25 columns,literal data
10310,DATE,date like ,2,literal data
10310,TIME,time like ,in,literal data
10310,H2O,a double,"wetl""",literal data
10310,CO2,no trailing characters,2023-07-19,literal data
10310,CH4,no trailing characters,15:17:24,literal data
10310,NA,22 columns,25 columns,literal data
10311,DATE,date like ,2,literal data
10311,TIME,time like ,in,literal data
10311,H2O,a double,"wetl""",literal data
10311,CO2,no trailing characters,2023-07-19,literal data
10311,CH4,no trailing characters,15:17:25,literal data
10311,NA,22 columns,25 columns,literal data
10312,DATE,date like ,2,literal data
10312,TIME,time like ,in,literal data
10312,H2O,a double,"wetl""",literal data
10312,CO2,no trailing characters,2023-07-19,literal data
10312,CH4,no trailing characters,15:17:26,literal data
10312,NA,22 columns,25 columns,literal data
10313,DATE,date like ,2,literal data
10313,TIME,time like ,in,literal data
10313,H2O,a double,"wetl""",literal data
10313,CO2,no trailing characters,2023-07-19,literal data
10313,CH4,no trailing characters,15:17:27,literal data
10313,NA,22 columns,25 columns,literal data
10314,DATE,date like ,2,literal data
10314,TIME,time like ,in,literal data
10314,H2O,a double,"wetl""",literal data
10314,CO2,no trailing characters,2023-07-19,literal data
10314,CH4,no trailing characters,15:17:28,literal data
10314,NA,22 columns,25 columns,literal data
10315,DATE,date like ,2,literal data
10315,TIME,time like ,in,literal data
10315,H2O,a double,"wetl""",literal data
10315,CO2,no trailing characters,2023-07-19,literal data
10315,CH4,no trailing characters,15:17:29,literal data
10315,NA,22 columns,25 columns,literal data
10316,DATE,date like ,2,literal data
10316,TIME,time like ,in,literal data
10316,H2O,a double,"wetl""",literal data
10316,CO2,no trailing characters,2023-07-19,literal data
10316,CH4,no trailing characters,15:17:30,literal data
10316,NA,22 columns,25 columns,literal data
10317,DATE,date like ,2,literal data
10317,TIME,time like ,in,literal data
10317,H2O,a double,"wetl""",literal data
10317,CO2,no trailing characters,2023-07-19,literal data
10317,CH4,no trailing characters,15:17:31,literal data
10317,NA,22 columns,25 columns,literal data
10318,DATE,date like ,2,literal data
10318,TIME,time like ,in,literal data
10318,H2O,a double,"wetl""",literal data
10318,CO2,no trailing characters,2023-07-19,literal data
10318,CH4,no trailing characters,15:17:32,literal data
10318,NA,22 columns,25 columns,literal data
10319,DATE,date like ,2,literal data
10319,TIME,time like ,in,literal data
10319,H2O,a double,"wetl""",literal data
10319,CO2,no trailing characters,2023-07-19,literal data
10319,CH4,no trailing characters,15:17:33,literal data
10319,NA,22 columns,25 columns,literal data
10320,DATE,date like ,2,literal data
10320,TIME,time like ,in,literal data
10320,H2O,a double,"wetl""",literal data
10320,CO2,no trailing characters,2023-07-19,literal data
10320,CH4,no trailing characters,15:17:34,literal data
10320,NA,22 columns,25 columns,literal data
10321,DATE,date like ,2,literal data
10321,TIME,time like ,in,literal data
10321,H2O,a double,"wetl""",literal data
10321,CO2,no trailing characters,2023-07-19,literal data
10321,CH4,no trailing characters,15:17:35,literal data
10321,NA,22 columns,25 columns,literal data
10322,DATE,date like ,2,literal data
10322,TIME,time like ,in,literal data
10322,H2O,a double,"wetl""",literal data
10322,CO2,no trailing characters,2023-07-19,literal data
10322,CH4,no trailing characters,15:17:36,literal data
10322,NA,22 columns,25 columns,literal data
10323,DATE,date like ,2,literal data
10323,TIME,time like ,in,literal data
10323,H2O,a double,"wetl""",literal data
10323,CO2,no trailing characters,2023-07-19,literal data
10323,CH4,no trailing characters,15:17:37,literal data
10323,NA,22 columns,25 columns,literal data
10324,DATE,date like ,2,literal data
10324,TIME,time like ,in,literal data
10324,H2O,a double,"wetl""",literal data
10324,CO2,no trailing characters,2023-07-19,literal data
10324,CH4,no trailing characters,15:17:38,literal data
10324,NA,22 columns,25 columns,literal data
10325,DATE,date like ,2,literal data
10325,TIME,time like ,in,literal data
10325,H2O,a double,"wetl""",literal data
10325,CO2,no trailing characters,2023-07-19,literal data
10325,CH4,no trailing characters,15:17:39,literal data
10325,NA,22 columns,25 columns,literal data
10326,DATE,date like ,2,literal data
10326,TIME,time like ,in,literal data
10326,H2O,a double,"wetl""",literal data
10326,CO2,no trailing characters,2023-07-19,literal data
10326,CH4,no trailing characters,15:17:40,literal data
10326,NA,22 columns,25 columns,literal data
10327,DATE,date like ,2,literal data
10327,TIME,time like ,in,literal data
10327,H2O,a double,"wetl""",literal data
10327,CO2,no trailing characters,2023-07-19,literal data
10327,CH4,no trailing characters,15:17:41,literal data
10327,NA,22 columns,25 columns,literal data
10328,DATE,date like ,2,literal data
10328,TIME,time like ,in,literal data
10328,H2O,a double,"wetl""",literal data
10328,CO2,no trailing characters,2023-07-19,literal data
10328,CH4,no trailing characters,15:17:42,literal data
10328,NA,22 columns,25 columns,literal data
10329,DATE,date like ,2,literal data
10329,TIME,time like ,in,literal data
10329,H2O,a double,"wetl""",literal data
